ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
7,1,25,272335.2168,1188368.16,0.0,0,0.0,1,1,0,1,1,0,0.0,3
6,1,4,7102.77,7872.99,551.34,3,0.07762323713142902,0,0,1,1,6,0,83291.86,0
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,1,7798.31,6595.64,2134.76,2,0.2737464912269454,0,0,1,1,12,0,0.0,0
5,2,1,1274.94,1356.05,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,4,2020.44,1898.87,1144.21,1,0.5663172378293838,0,0,2,1,14,2,765.02,0
2,1,6,1294427.01,3121937.43,0.0,0,0.0,0,0,0,1,0,0,65454.56,0
5,2,3,1118.89,363.76,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,3,1060.65,363.98,0.0,0,0.0,0,0,0,0,10,0,0.0,3
9,1,17,3129.9,5811.46,1530.48,2,0.4889868685900508,1,1,2,1,18,20,1393.32,1
5,2,1,0.0,423.76,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,1,1305.16,1048.71,483.11,2,0.370153850868859,0,0,2,1,13,1,11207.48,1
5,2,3,1251.33,928.9100000000001,324.23,2,0.2591083087594799,0,0,2,0,10,12,0.0,1
2,1,4,212321.1,401047.16,0.0,0,0.0,0,2,0,1,2,0,9172.31,2
5,2,1,2709.99,2927.18,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,2992.32,2010.99,1004.16,2,0.3355790824510747,0,0,1,0,10,0,0.0,0
6,1,2,2531.29,2989.84,0.0,0,0.0,0,0,0,1,9,0,4937.77,0
9,1,1,41524.52,45318.58,0.0,0,0.0,0,0,0,1,0,1,0.0,1
