ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
4,1,3,5548.79,2473.93,4452.43,1,0.8024145804761038,0,0,2,1,15,1,52013.58,0
5,2,4,1031.81,727.0999999999999,409.38,2,0.3967590932439112,0,0,2,0,10,12,0.0,1
5,2,5,1348.31,1394.13,305.6794,2,0.2267129962694039,0,0,2,0,10,12,0.0,1
6,1,3,29477.85,28685.49,0.0,0,0.0,0,0,0,1,7,0,0.0,1
9,1,14,586.15,1573.77,0.0,0,0.0,1,1,0,1,17,4,0.0,3
9,1,10,5740.05,14209.58,7291.43,1,1.270272907030427,1,1,0,1,17,20,0.0,0
5,2,3,2195.65,587.34,0.0,0,0.0,0,0,0,0,10,0,0.0,3
2,1,28,13956.35,22160.61,6631.73,2,0.475176532546117,1,0,2,1,4,1,891.1,1
5,2,1,0.0,1213.38,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,1,0.0,14987.35,0.0,0,0.0,0,0,1,1,17,0,87287.69,0
9,1,5,28532.11,30944.23,0.0,0,0.0,0,0,0,1,13,1,7905.34,1
5,2,1,0.0,2624.29,0.0,0,0.0,0,0,0,1,10,1,293570.49,2
6,1,26,35863.5674,171996.96,0.0,0,0.0,1,1,0,1,8,0,0.0,3
6,1,1,5478.44,5795.11,0.0,0,0.0,0,0,0,1,0,1,13897.79,1
6,1,7,3220.51,3895.629999999999,1445.4675,2,0.4488318620342741,1,2,2,1,17,16,0.0,1
8,0,7,7320.61,20316.61,0.0,0,0.0,1,0,0,0,10,0,0.0,3
5,2,1,2505.23,2705.68,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,14,1421.81,3873.67,307.31,2,0.2161399905753933,1,1,2,1,13,18,0.0,1
4,1,3,6638.2,7249.05,1804.12,2,0.2717784941701064,0,0,2,1,15,2,21796.1,1
9,1,1,0.0,83434.85,0.0,0,0.0,0,0,1,1,17,0,0.0,0
5,2,5,857.73,693.93,337.9483,2,0.3940031245263661,0,0,2,0,10,15,0.0,1
5,2,3,1870.33,587.35,0.0,0,0.0,0,0,0,0,10,0,470.04,3
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,1282.87,0.0,0,0.0,0,0,1,0,10,0,0.0,0
5,2,1,0.0,1319.83,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,1470.51,0.0,0,0.0,0,0,0,0,10,0,284.11,2
5,2,1,0.0,254.28,0.0,0,0.0,0,0,0,0,10,0,0.0,2
6,1,12,6417.55,8994.300000000001,2079.62,2,0.3240520136189045,1,2,2,1,2,19,0.0,1
6,1,10,1924.75,2422.69,522.56,2,0.271494999350565,1,1,2,1,13,18,0.0,1
5,2,0,2118.6,2291.85,0.0,0,0.0,0,0,0,1,15,0,10179.09,0
5,2,7,1476.93,2017.18,101.6118,3,0.06879933375312303,1,0,2,0,10,16,0.0,2
5,2,1,1272.45,1353.43,0.0,0,0.0,0,0,0,0,10,0,0.0,2
0,1,12,1756.41,3321.18,603.92,2,0.3438377144288634,1,1,2,1,17,3,0.0,1
3,1,3,6555.56,3200.47,5752.02,1,0.877426184795807,0,0,1,1,17,0,28111.35,0
5,2,5,1178.63,1375.07,0.0,0,0.0,0,0,0,0,10,0,2696.49,0
5,2,7,880.37,922.19,296.125,2,0.3363642559378443,1,0,2,0,10,17,0.0,1
