ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
5,2,1,2509.09,2705.02,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,7,71055.55,157247.5,22566.64,2,0.3175915181854197,1,0,0,1,17,18,0.0,1
5,2,4,1481.37,284.42,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,3,892.27,922.94,275.9,2,0.3092113373754581,0,2,2,1,12,2,0.0,1
11,3,7,7203.5,9992.68,4054.1366,1,0.5628009439855626,1,0,2,1,9,12,0.0,0
5,2,1,0.0,778.05,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,3,371.29,396.26,101.91,2,0.2744754773896415,0,2,2,1,7,12,0.0,1
6,1,1,907.6,888.3,0.0,0,0.0,0,0,0,1,0,0,22192.14,1
9,1,2,5035.08,5880.98,0.0,0,0.0,0,0,0,1,17,2,2096.13,1
5,2,1,3119.16,3368.62,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,4,1626.56,1537.86,371.67,2,0.2285006393861893,0,0,2,0,10,2,0.0,1
9,1,17,7916.84,29500.92,3212.21,2,0.4057439584480677,1,1,0,1,1,9,0.0,1
5,2,3,1887.8,613.99,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,10,1919.41,1052.85,1695.69,1,0.8834433497793592,1,1,2,1,17,18,0.0,0
9,1,3,0.0,10455.57,0.0,0,0.0,0,0,1,1,17,0,0.0,0
5,2,5,803.78,649.9499999999998,364.11,2,0.4529970887556296,0,0,2,0,10,12,1643.6,1
9,1,12,8205.99,13323.42,4202.75,1,0.5121563638269118,1,1,2,1,17,20,0.0,0
9,1,2,89895.91,97238.75,0.0,0,0.0,0,0,0,1,17,1,0.0,1
5,2,1,2869.63,3093.98,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,1,5292.41,5780.219999999998,2848.02,1,0.5381329110934339,0,0,0,1,12,1,0.0,0
5,2,1,3596.51,3881.44,0.0,0,0.0,0,0,0,1,10,0,377294.55,2
6,1,1,349.33,385.14,0.0,0,0.0,0,0,0,1,17,0,0.0,1
5,2,3,1864.84,606.4,0.0,0,0.0,0,0,0,0,10,0,2264.1,3
